word,preference,occurrences,song_count,songs
rackety,5164.049368656234,12,1,Rickety Rackety
un-gowa,4722.899422590124,12,1,Number Nine
crawlin,2366.205904067056,10,3,No City; Wise Up; Bad Samaritan
aesop,2125.536937777286,92,44,"Lazy Eye; Save Yourself; Hot Dogs; Battery; One of Four (Thank You); One Brick; The Yes and the Y’all; The Tugboat Complex Pt. 3; Abandon All Hope; Coma; Zodiaccupuncture; 1,000 Deaths; Boombox; The Tugboat Complex; Antisocial; Freeze/Honeycomb Interlude; Bracket Basher; Easy; The Substance; Super fluke; Frijoles; Kill the Messenger; Same Space (The Tugboat Complex pt. 2); Wake Up Call; Try Not to Die; Odessa; Blue in the Face; Troubled Waters; Forward Compatibility Engine; Limelighters/Flunkadelic Interlude; Plastic Soldiers; Wise Up; Coward of the Year; Train Buffer; Numb (to the Guns); Live On 89.9FM Nighttrain; Freeze; 89.9FM Nighttrain Promo; Coordinates; Bad Samaritan; One Of Four; All In All; The Tugboat Complex, Part 3; Jinx Planet"
charcoals,1771.0872834712966,9,4,Battery; Ruby ’81; Hold the Cup; Drawbridge
deviltry,1760.0318072948214,4,4,Garbage; The Mayor and the Crook; How to Be a Carpenter; Maintenance
moshes,1491.8364842784679,2,2,Freeze/Honeycomb Interlude; Freeze
fugee,1491.8364842784679,2,2,Pizza Alley; Infinity Fill Goose Down
gepetto,1487.1154827459409,3,3,Nickel Plated Pockets; Freeze/Honeycomb Interlude; Freeze
utterings,1463.951690179805,2,2,"The Tugboat Complex Pt. 3; The Tugboat Complex, Part 3"
wkcr,1362.1115726020791,2,1,89.9FM Nighttrain Promo
similars,1248.150046607483,4,3,Big Bang; The Mayor and the Crook; Same Space (The Tugboat Complex pt. 2)
c-rayz,1243.1970702320564,2,1,Bent Life
gravitron,1124.2308434155918,3,2,All Day: Nike+ Original Run; Junkyard
wising,1118.8773632088507,7,1,Wise Up
murkiest,1080.2953851671662,2,2,Numb (to the Guns); Live On 89.9FM Nighttrain
hecatomb,1058.3975057381022,2,2,Gun for the Whole Family; For The Whole Family
mulish,1004.1207105720455,3,3,Pigs; No City; The Next Best Thing
peaced,943.6315111399947,2,1,Bug Zapper
jux,928.7124358650541,9,9,Save Yourself; Bazooka Tooth; Nickel Plated Pockets; Frijoles; Kill the Messenger; Ace Rocks; Junkyard; All In All; Hall of Game
lefter,880.0159036474107,2,2,Gun for the Whole Family; For The Whole Family
merked,860.6748947760391,2,2,Winners Take All; All In All
prototypic,860.6748947760391,2,2,Boombox; Skip Town
flirtin,860.6748947760391,2,2,Garbage; Alchemy
rhymin,803.2965684576366,2,2,Rings; Lazy Eye
redenbacher,803.2965684576366,2,2,Gun for the Whole Family; For The Whole Family
hatchin,803.2965684576366,2,2,Gun for the Whole Family; For The Whole Family
evenin,803.2965684576365,12,2,Night Light; Bad Samaritan
vivisect,767.8570139668584,1,1,Mars Attacks
rhymesayers,767.8570139668584,2,2,Save Yourself; Hall of Game
